question,answer,predicted_kg_response,predicted_qa_response
When was Willian date of birth?,"Willian was date of birth on August 9, 1988.","August 9, 1988","August 9, 1988"
What jersey number does Willian wear?,Willian wears jersey number 22.,22,22
How height is Willian?,Willian is 1.75 meters height.,1.75m,1.75m
Who is another forward in Chelsea's squad?,Michy Batshuayi is another forward for Chelsea.,Michy,Michy
How many goals has Michy Batshuayi scored for Chelsea?,Michy Batshuayi has scored 7 goals.,7,7
How many caps  does Michy Batshuayi have?,Michy Batshuayi has 32 caps.,32,32
When was Michy Batshuayi date of birth?,"Michy Batshuayi was date of birth on October 2, 1993.","October 2, 1993","October 2, 1993"
What jersey number does Michy Batshuayi wear?,Michy Batshuayi wears jersey number 23.,23,23
How height is Michy Batshuayi?,Michy Batshuayi is 1.85 meters height.,1.85m,1.85m
Who is another defender in Chelsea's squad?,Andreas Christensen is another defender for Chelsea.,Andreas,Andreas
How many goals has Andreas Christensen scored for Chelsea?,Andreas Christensen has scored 0 goals.,0,0
How many caps  does Andreas Christensen have?,Andreas Christensen has 36 caps.,36,36
When was Andreas Christensen date of birth?,"Andreas Christensen was date of birth on April 10, 1996.","April 10, 1996","April 10, 1996"
What jersey number does Andreas Christensen wear?,Andreas Christensen wears jersey number 27.,27,27
How height is Andreas Christensen?,Andreas Christensen is 1.88 meters height.,1.88m,1.88m
Who is another defender in Chelsea's squad?,Cesar Azpilicueta is another defender for Chelsea.,Cesar,Cesar
How many goals has Cesar Azpilicueta scored for Chelsea?,Cesar Azpilicueta has scored 6 goals.,6,6
How many caps  does Cesar Azpilicueta have?,Cesar Azpilicueta has 235 caps.,235,235
When was Cesar Azpilicueta date of birth?,"Cesar Azpilicueta was date of birth on August 28, 1989.","August 28, 1989","August 28, 1989"
What jersey number does Cesar Azpilicueta wear?,Cesar Azpilicueta wears jersey number 28.,28,28
How height is Cesar Azpilicueta?,Cesar Azpilicueta is 1.78 meters height.,1.78m,1.78m
Who is another defender in Chelsea's squad?,David Luiz is another defender for Chelsea.,David,David
How many goals has David Luiz scored for Chelsea?,David Luiz has scored 5 goals.,5,5
How many caps  does David Luiz have?,David Luiz has 79 caps.,79,79
When was David Luiz date of birth?,"David Luiz was date of birth on April 22, 1987.","April 22, 1987","April 22, 1987"
What jersey number does David Luiz wear?,David Luiz wears jersey number 30.,30,30
How height is David Luiz?,David Luiz is 1.89 meters height.,1.89m,1.89m
Who is another defender in Chelsea's squad?,Emerson Palmieri is another defender for Chelsea.,Emerson,Emerson
How many goals has Emerson Palmieri scored for Chelsea?,Emerson Palmieri has scored 0 goals.,0,0
How many caps  does Emerson Palmieri have?,Emerson Palmieri has 15 caps.,15,15
When was Emerson Palmieri date of birth?,"Emerson Palmieri was date of birth on August 3, 1994.","August 3, 1994","August 3, 1994"
What jersey number does Emerson Palmieri wear?,Emerson Palmieri wears jersey number 33.,33,33
How height is Emerson Palmieri?,Emerson Palmieri is 1.75 meters height.,1.75m,1.75m
Who is another midfielder in Chelsea's squad?,Danny Drinkwater is another midfielder for Chelsea.,Danny,Danny
How many goals has Danny Drinkwater scored for Chelsea?,Danny Drinkwater has scored 1 goal.,1,1
How many caps  does Danny Drinkwater have?,Danny Drinkwater has 12 caps.,12,12
What is the name of FC Porto's home ground?,FC Porto's home ground is Estádio do Dragão.,Estádio do Dragão,Estádio do Dragão
What is the capacity of Estádio do Dragão?,"Estádio do Dragão has a capacity of 50,033.","50,033","50,033"
Who is the chairman of FC Porto?,The chairman of FC Porto is Jorge Nuno Pinto da Costa.,Jorge,Jorge
Who is the head coach of FC Porto?,The head coach of FC Porto is Sérgio Conceição.,Sérgio,Sérgio
Which player plays as a goalkeeper for FC Porto?,Iker Casillas is a goalkeeper for FC Porto.,Iker,Iker
How many goals has Iker Casillas scored for FC Porto?,Iker Casillas has scored 0 goals.,0,0
How many caps  does Iker Casillas have?,Iker Casillas has 116 caps.,116,116
When was Iker Casillas date of birth?,"Iker Casillas was date of birth on May 20, 1981.","May 20, 1981","May 20, 1981"
What jersey number does Iker Casillas wear?,Iker Casillas wears jersey number 1.,1,1
How height is Iker Casillas?,Iker Casillas is 1.82 meters height.,1.82m,1.82m
Who is a forward in FC Porto's squad with a notable number of goals?,Vincent Aboubakar is a forward in FC Porto's squad with 36 goals.,Vincent,Vincent
How many caps  does Vincent Aboubakar have?,Vincent Aboubakar has 76 caps.,76,76
When was Vincent Aboubakar date of birth?,"Vincent Aboubakar was date of birth on January 22, 1992.","January 22, 1992","January 22, 1992"
What jersey number does Vincent Aboubakar wear?,Vincent Aboubakar wears jersey number 9.,9,9
How height is Vincent Aboubakar?,Vincent Aboubakar is 1.84 meters height.,1.84m,1.84m
Who is a midfielder in FC Porto's squad?,Oliver Torres is a midfielder for FC Porto.,Oliver,Oliver
How many goals has Oliver Torres scored for FC Porto?,Oliver Torres has scored 3 goals.,3,3
How many caps  does Oliver Torres have?,Oliver Torres has 55 caps.,55,55
When was Oliver Torres date of birth?,"Oliver Torres was date of birth on November 10, 1994.","November 10, 1994","November 10, 1994"
What jersey number does Oliver Torres wear?,Oliver Torres wears jersey number 10.,10,10
How height is Oliver Torres?,Oliver Torres is 1.74 meters height.,1.74m,1.74m
Who is a forward in FC Porto's squad with a notable number of goals?,Moussa Marega is a forward in FC Porto's squad with 33 goals.,Moussa,Moussa
How many caps  does Moussa Marega have?,Moussa Marega has 66 caps.,66,66
When was Moussa Marega date of birth?,"Moussa Marega was date of birth on April 14, 1991.","April 14, 1991","April 14, 1991"
What jersey number does Moussa Marega wear?,Moussa Marega wears jersey number 11.,11,11
How height is Moussa Marega?,Moussa Marega is 1.83 meters height.,1.83m,1.83m
Who is another defender in FC Porto's squad?,Wilson Manafa is another defender for FC Porto.,Wilson,Wilson
How many goals has Wilson Manafa scored for FC Porto?,Wilson Manafa has scored 1 goal.,1,1
How many caps  does Wilson Manafa have?,Wilson Manafa has 14 caps.,14,14
When was Wilson Manafa date of birth?,"Wilson Manafa was date of birth on July 23, 1994.","July 23, 1994","July 23, 1994"
What jersey number does Wilson Manafa wear?,Wilson Manafa wears jersey number 12.,12,12
How height is Wilson Manafa?,Wilson Manafa is 1.73 meters height.,1.73m,1.73m
Who is another defender in FC Porto's squad?,Alex Telles is another defender for FC Porto.,Alex,Alex
How many goals has Alex Telles scored for FC Porto?,Alex Telles has scored 8 goals.,8,8
How many caps  does Alex Telles have?,Alex Telles has 95 caps.,95,95
When was Alex Telles date of birth?,"Alex Telles was date of birth on December 15, 1992.","December 15, 1992","December 15, 1992"
What jersey number does Alex Telles wear?,Alex Telles wears jersey number 13.,13,13
How height is Alex Telles?,Alex Telles is 1.80 meters height.,1.80m,1.80m
Who is a forward in FC Porto's squad with a notable number of goals?,Jesus Corona is a forward in FC Porto's squad with 17 goals.,Jesus,Jesus
How many caps  does Jesus Corona have?,Jesus Corona has 117 caps.,117,117
When was Jesus Corona date of birth?,"Jesus Corona was date of birth on January 6, 1993.","January 6, 1993","January 6, 1993"
What jersey number does Jesus Corona wear?,Jesus Corona wears jersey number 17.,17,17
How height is Jesus Corona?,Jesus Corona is 1.74 meters height.,1.74m,1.74m
Who is another forward in FC Porto's squad?,Andre Pereira is another forward for FC Porto.,Andre,Andre
How many goals has Andre Pereira scored for FC Porto?,Andre Pereira has scored 1 goal.,1,1
How many caps  does Andre Pereira have?,Andre Pereira has 10 caps.,10,10
When was Andre Pereira date of birth?,"Andre Pereira was date of birth on May 5, 1995.","May 5, 1995","May 5, 1995"
What jersey number does Andre Pereira wear?,Andre Pereira wears jersey number 21.,21,21
How height is Andre Pereira?,Andre Pereira is 1.88 meters height.,1.88m,1.88m
Who is a midfielder in FC Porto's squad with a notable number of goals?,Danilo Pereira is a midfielder in FC Porto's squad with 13 goals.,Danilo,Danilo
How many caps  does Danilo Pereira have?,Danilo Pereira has 106 caps.,106,106
When was Danilo Pereira date of birth?,"Danilo Pereira was date of birth on September 9, 1991.","September 9, 1991","September 9, 1991"
What jersey number does Danilo Pereira wear?,Danilo Pereira wears jersey number 22.,22,22
How height is Danilo Pereira?,Danilo Pereira is 1.88 meters height.,1.88m,1.88m
Who is a midfielder in FC Porto's squad with a notable number of goals?,Otavio is a midfielder in FC Porto's squad with 5 goals.,Otavio,Otavio
How many caps  does Otavio have?,Otavio has 56 caps.,56,56
When was Otavio date of birth?,"Otavio was date of birth on February 9, 1995.","February 9, 1995","February 9, 1995"
What jersey number does Otavio wear?,Otavio wears jersey number 25.,25,25
How height is Otavio?,Otavio is 1.71 meters height.,1.71m,1.71m
Who is a midfielder in FC Porto's squad with a notable number of goals?,Sergio Oliveira is a midfielder in FC Porto's squad with 7 goals.,Sergio,Sergio
How many caps  does Sergio Oliveira have?,Sergio Oliveira has 37 caps.,37,37
When was Sergio Oliveira date of birth?,"Sergio Oliveira was date of birth on June 2, 1992.","June 2, 1992","June 2, 1992"
What jersey number does Sergio Oliveira wear?,Sergio Oliveira wears jersey number 27.,27,27
How height is Sergio Oliveira?,Sergio Oliveira is 1.81 meters height.,1.81m,1.81m
Who is a forward in FC Porto's squad with a notable number of goals?,Soares is a forward in FC Porto's squad with 35 goals.,Soares,Soares
How many caps  does Soares have?,Soares has 67 caps.,67,67
When was Soares date of birth?,"Soares was date of birth on January 17, 1991.","January 17, 1991","January 17, 1991"
What jersey number does Soares wear?,Soares wears jersey number 29.,29,29
How height is Soares?,Soares is 1.87 meters height.,1.87m,1.87m
Who is another defender in FC Porto's squad?,Pepe is another defender for FC Porto.,Pepe,Pepe
How many goals has Pepe scored for FC Porto?,Pepe has scored 2 goals.,2,2
How many caps  does Pepe have?,Pepe has 12 caps.,12,12
When was Pepe date of birth?,"Pepe was date of birth on February 26, 1983.","February 26, 1983","February 26, 1983"
What jersey number does Pepe wear?,Pepe wears jersey number 33.,33,33
How height is Pepe?,Pepe is 1.87 meters height.,1.87m,1.87m
Who is a forward in FC Porto's squad with notable caps?,Fernando is a forward in FC Porto's squad with 8 caps.,Fernando,Fernando
How many goals has Fernando scored for FC Porto?,Fernando has scored 0 goals.,0,0
When was Fernando date of birth?,"Fernando was date of birth on January 8, 1993.","January 8, 1993","January 8, 1993"
What jersey number does Fernando wear?,Fernando wears jersey number 37.,37,37
How height is Fernando?,Fernando is 1.82 meters height.,1.82m,1.82m
Who is oldest Player,Iker Casillas is oldest player,Iker Casillas,none
Who is Youngest Player,Alphonso Davies is youngest player,Alphonso Davies,none
when is the football game,the football game is wednesday at 10am,none,none
who 's the youngest player on the team \?,"i'm not sure but is it hernâni jorge santos fortes, maybe?",none,none
portugal win the world cup \?,"no, portugal didn't  win the world cup, francia wins.",none,none
portugal win the last eurocup \?,yes they won the last europcup,none,none
what was the final score \?,03-Jan,none,none
do you think portugal will win the next world cup,i don't think they have a chance of winning,none,none
is portugal on of the best teams \?,i'd say portugal are within the top 10 of international football teams currently out there,none,none
how did you like the fifa world cup 2018 \?,i thought it was great because the teams were not what everyone expected this year.,none,none
who scored the most goals at this years world cup \?,barcelona,none,none
lionel messi will miss u,who is the best team,none,none
i think france is the best team,france in the best team,none,none
france is good but could they have been better \?,they could if they knew how to play.,none,none
i completely love bayern munich,how the hell like bayern munich?,none,none
they are enjoyable to watch who do you like to watch on the bayern munich team \?,i like lewandowski because he scores lots of goals. ,none,none
i agree with this it 's nice to see the world of music that is a great team,"it's nice to see bayern munich, but i think it's better thiago",none,none
can bayern regain the championship,"for sure, theyll have some competition from bvb but they should pull it off",none,none
how old is mbappe,he is in his thirtys,none,none
who 's your favorite player on the team \?,luis suarez,none,none
who do you think their best player is \?,messi,none,none
what do you think of luis suarez \?,"i think he's a decent player, but has poor sportsmanship.",none,none
who is the best player on the italian national men 's team \?,i think ballotelli is,none,none
